"Photo","Location","label_number","box_type","Photo_src","GPSLatitude","GPSLongitude","Survey_run","Google_Photos_Link"
"IMG_0144_E","Blackhill Gardens","29","other","Photos/JPEGs/IMG_0144_E.jpg",55.9067,-4.2908,"E","https://photos.google.com/photo/AF1QipMCFSZwkQ-bKOYDoEC56DQ7TVfDyQ8MSxJPBbWD"
"IMG_0144_B","Arrochar Street","","other","Photos/JPEGs/IMG_0144_B.jpg",55.9035,-4.2965,"B","https://photos.google.com/photo/AF1QipMzPpElmO2DUnIRpr1oNP3h8f-XfNTJbO_8T_Ke"
"IMG_0145_E","Blackhill Gardens","","other","Photos/JPEGs/IMG_0145_E.jpg",55.9067,-4.2909,"E","https://photos.google.com/photo/AF1QipOg26c308asgGhlkCXipmDfmKHn9mmUAPWKUMK9"
"IMG_0145_B","Arrochar Street","","3","Photos/JPEGs/IMG_0145_B.jpg",55.9033,-4.2959,"B","https://photos.google.com/photo/AF1QipPNQ_RsEaWKlniKWF_r_l5pwGH5X7giT4OsYA-7"
"IMG_0146_B","Chatton Street","GLA 8 PN102 SN5","1","Photos/JPEGs/IMG_0146_B.jpg",55.9033,-4.2955,"B","https://photos.google.com/photo/AF1QipNM5bw6B79nxfpX-nbhsn3frAmuQGXwpgJJyLAa"
"IMG_0146_E","Blackhill Gardens","GLA8 PN106 SN3","1","Photos/JPEGs/IMG_0146_E.jpg",55.9064,-4.2926,"E","https://photos.google.com/photo/AF1QipMH7z_Fi2BHogNvKyPz71GDimP2oQ6AaV3-JBUg"
"IMG_0147_B","Drumlaken Place","GLA 8 PN102 SN6","1","Photos/JPEGs/IMG_0147_B.jpg",55.9032,-4.296,"B","https://photos.google.com/photo/AF1QipM5yVmmJlYfHeIFDDKopNwfes2l3YTKlkNC5ErU"
"IMG_0147_E","Blackhill Gardens","","other","Photos/JPEGs/IMG_0147_E.jpg",55.9066,-4.2946,"E","https://photos.google.com/photo/AF1QipMDG8Wa1nycmyUoibwT9z9zY_5ceSii_Kb05I5s"
"IMG_0148_B","Drumlaken Place","102502253","other","Photos/JPEGs/IMG_0148_B.jpg",55.9032,-4.2959,"B","https://photos.google.com/photo/AF1QipOvkJXzmMXZt3INKffYbTiw_Z77W-2MrVAcnqyB"
"IMG_0148_E","Blackhill Gardens","GLA8 PN106 SN4","1","Photos/JPEGs/IMG_0148_E.jpg",55.9066,-4.2963,"E","https://photos.google.com/photo/AF1QipMBXXJ-twadOdX2-bijSSrYvxb11cTCs6C7OCy1"
"IMG_0150_B","Drumlaken Place","","3","Photos/JPEGs/IMG_0150_B.jpg",55.9031,-4.2959,"B","https://photos.google.com/photo/AF1QipNNes7BqO-m7GQ4ACvhu0yoBSzhoAygb12xYmuF"
"IMG_0323_C","Arrochar Street/Torrin Road","GLA 8 PN102 SN7","1","Photos/JPEGs/IMG_0323_C.jpg",55.9035,-4.2951,"C","https://photos.google.com/photo/AF1QipOjBvYqcloQxz9kWicmWQcUMS1wBEAnC21-jXBd"
"IMG_0324_C","Arrochar Street/Torrin Road","","2","Photos/JPEGs/IMG_0324_C.jpg",55.9037,-4.2946,"C","https://photos.google.com/photo/AF1QipNCwG0OWVZIlT8dgQMjWfCVSFiI4LFI3dni9vJO"
"IMG_0325_C","Ardessie Street","","other","Photos/JPEGs/IMG_0325_C.jpg",55.9037,-4.2946,"C","https://photos.google.com/photo/AF1QipNcaMAh5xhduE7F9s12tsarFB8ksb8jOLqQH9Db"
"IMG_0326_C","Ardessie Street","","2","Photos/JPEGs/IMG_0326_C.jpg",55.9044,-4.2942,"C","https://photos.google.com/photo/AF1QipPCrt8DHUVhOVLUDCyWzmKMUyxsGY2gcF--Hi5j"
"IMG_0327_C","Carnoch Street","GLA 8 PN102 SN8","1","Photos/JPEGs/IMG_0327_C.jpg",55.9044,-4.294,"C","https://photos.google.com/photo/AF1QipPWoWnfHqignAB6-sE-5veA_D2eP0-EhHWFLqC6"
"IMG_0328_C","Torrin Road","GLA 7 PN102 SN9","1","Photos/JPEGs/IMG_0328_C.jpg",55.9049,-4.2938,"C","https://photos.google.com/photo/AF1QipMHrWZigpMEAX4SGodiJ9nXLUQ7kYo6i_CIWzIu"
"IMG_0329_C","Torrin Road","","3","Photos/JPEGs/IMG_0329_C.jpg",55.9051,-4.2938,"C","https://photos.google.com/photo/AF1QipPXcWUT3CVoGviVRuWiKHvwzS-IszsXYCEKneS8"
"IMG_0330_C","Milovaig Street","GLA 8 PN102 SN10","1","Photos/JPEGs/IMG_0330_C.jpg",55.9053,-4.2937,"C","https://photos.google.com/photo/AF1QipOfUhqggasZJTc_8Nr_1J_94CP6b9mTDBLa61cU"
"IMG_0331_C","Milovaig Street","","3","Photos/JPEGs/IMG_0331_C.jpg",55.9053,-4.2933,"C","https://photos.google.com/photo/AF1QipMCOY69xEZEJee738SyKamev_uMVlEVWNzvPCwD"
"IMG_0332_C",NA,"","3","Photos/JPEGs/IMG_0332_C.jpg",55.9052,-4.2929,"C","https://photos.google.com/photo/AF1QipN8rUpK7WNqeA1syIbAGuluhErUbFZswBBdK7vl"
"IMG_0333_C",NA,"","other","Photos/JPEGs/IMG_0333_C.jpg",55.9053,-4.2915,"C","https://photos.google.com/photo/AF1QipOCOvYsozg-Gt-d8QSFz7rk033NQNR6GSJg0pGi"
"IMG_0334_C",NA,"GLA 8 PN106 SN2","1","Photos/JPEGs/IMG_0334_C.jpg",55.9055,-4.2915,"C","https://photos.google.com/photo/AF1QipORGdRtRxPWN_8BS9g0u_uMKipY5pl-AfkFbkNn"
"IMG_0335_C",NA,"","2","Photos/JPEGs/IMG_0335_C.jpg",55.9054,-4.2911,"C","https://photos.google.com/photo/AF1QipPnj-tltrwtEulPeJjx4viLmZP5qj6Z_IVoeu8y"
"IMG_0336_C",NA,"GLA 8 PN106","1","Photos/JPEGs/IMG_0336_C.jpg",55.9055,-4.2909,"C","https://photos.google.com/photo/AF1QipOIaL-3KdKSYTI4xG2QBSXz00zOP7U6fhmUGv08"
"IMG_0337_C",NA,"GLA 8 PN107 SN2","1","Photos/JPEGs/IMG_0337_C.jpg",55.9053,-4.2897,"C","https://photos.google.com/photo/AF1QipNDrGF6HVSkfwW6rQAOezOYcu__o6Rc1k9U4UA_"
"IMG_0338_C",NA,"","3","Photos/JPEGs/IMG_0338_C.jpg",55.9053,-4.2899,"C","https://photos.google.com/photo/AF1QipMqdiiv-hmHkcQxO1rtVg7aDMrYRBh1X758Mtmq"
"IMG_0339_C",NA,"","other","Photos/JPEGs/IMG_0339_C.jpg",55.9047,-4.2902,"C","https://photos.google.com/photo/AF1QipPl0BEsWOeX9v5l1Tp3bUN34htUhBgkvzyEy-_K"
"IMG_0340_C",NA,"","2","Photos/JPEGs/IMG_0340_C.jpg",55.9045,-4.2895,"C","https://photos.google.com/photo/AF1QipMWZoZMGC2USJrAWYwAGp1ixQVKuY0xEWrlSp9O"
"IMG_0341_C",NA,"GLA 8 PN107 SN1","1","Photos/JPEGs/IMG_0341_C.jpg",55.904,-4.2894,"C","https://photos.google.com/photo/AF1QipO3_u1uw01w-5VwbrpVeDc58A7oidhQaPzVVEd3"
"IMG_0342_C",NA,"GLA 8 PN105 SN7","1","Photos/JPEGs/IMG_0342_C.jpg",55.9041,-4.2906,"C","https://photos.google.com/photo/AF1QipPlT_hjoxFP3qY_a5ZEZVcqh4bhEt15SPd7nUcV"
"IMG_0343_C",NA,"","2","Photos/JPEGs/IMG_0343_C.jpg",55.9041,-4.2906,"C","https://photos.google.com/photo/AF1QipOz5uNAJR_ltNZ1CwYAgC0JQYh8Jxzk4xiGdni0"
"IMG_0344_C",NA,"GLA 8 PN106 SN1","1","Photos/JPEGs/IMG_0344_C.jpg",55.9048,-4.291,"C","https://photos.google.com/photo/AF1QipPO3F_5P6C2o-bNODn87uGCOU4edboQUpbKYe8T"
"IMG_0345_C",NA,"","3","Photos/JPEGs/IMG_0345_C.jpg",55.9048,-4.2922,"C","https://photos.google.com/photo/AF1QipPOmEPomkyvIYbEkBSPymSFoghMyN3AT-5hEKdz"
"IMG_0346_C",NA,"","other","Photos/JPEGs/IMG_0346_C.jpg",55.9047,-4.2931,"C","https://photos.google.com/photo/AF1QipOihEIj0MF7rVh9VhEE-MLla-Xo6I1_AYTP6hpz"
"IMG_0347_C",NA,"","3","Photos/JPEGs/IMG_0347_C.jpg",55.904,-4.2934,"C","https://photos.google.com/photo/AF1QipO5jtH1O0ERqPCS7on2e3At7OUQymSzTvDXsFtt"
"IMG_0348_C",NA,"","2","Photos/JPEGs/IMG_0348_C.jpg",55.9042,-4.2923,"C","https://photos.google.com/photo/AF1QipMdZ2EjTj32OzYswts7NkgFJarbYXVmk4GJCVYZ"
"IMG_0349_C",NA,"GLA 8 PN105 SN9","1","Photos/JPEGs/IMG_0349_C.jpg",55.9041,-4.2921,"C","https://photos.google.com/photo/AF1QipNehuxGoiRX4gOX0ODTZ3FH8KAEOPGVvDo-FBRJ"
"IMG_0350_C",NA,"","other","Photos/JPEGs/IMG_0350_C.jpg",55.9041,-4.2921,"C","https://photos.google.com/photo/AF1QipPcQQVbSSZ3pl10TAa_7gFXa85M4OZ6k48_VtXO"
"IMG_0351_C",NA,"","other","Photos/JPEGs/IMG_0351_C.jpg",55.9039,-4.2921,"C","https://photos.google.com/photo/AF1QipM1WbzEAkvoXdGB9KiM08QdzwpKJ46VC9nN6ktt"
"IMG_0352_C",NA,"","other","Photos/JPEGs/IMG_0352_C.jpg",55.9038,-4.2921,"C","https://photos.google.com/photo/AF1QipNjNxp8BcYDuIQbCghxtUEOUkQL3AcGkyr83VqG"
"IMG_0353_C",NA,"GLA 8 PN105 SN8","1","Photos/JPEGs/IMG_0353_C.jpg",55.9041,-4.2914,"C","https://photos.google.com/photo/AF1QipNrGC5M4JSrl5YYIMdztCzn7sonEqI8xLgz_zui"
"IMG_0354_C",NA,"","3","Photos/JPEGs/IMG_0354_C.jpg",55.9041,-4.2914,"C","https://photos.google.com/photo/AF1QipMLTSw-Hnt-yNIqhvO2XvSw9gWx6zysFgNCHttU"
"IMG_0355_C",NA,"GLA 8 PN105 SN6","1","Photos/JPEGs/IMG_0355_C.jpg",55.9037,-4.2895,"C","https://photos.google.com/photo/AF1QipPCbb2_XI1xWOlWHaBaLd0200PYmkrKFw_9k7ed"
"IMG_9962_A","Rothes Drive","GLA 8 PN103 SN2","1","Photos/JPEGs/IMG_9962_A.jpg",55.9015,-4.2943,"A","https://photos.google.com/photo/AF1QipMMc5gaQE2E1pc9RlauZbhCP29oFZMqRaSGthzc"
"IMG_9963_A","Rothes Drive","","other","Photos/JPEGs/IMG_9963_A.jpg",55.9016,-4.2948,"A","https://photos.google.com/photo/AF1QipM6-0Wgx5LhBrOS7p9B1BO3vnZdx8FVn_FkrBTe"
"IMG_9964_A","Rothes Drive","GLA 8 PN103 SN7","1","Photos/JPEGs/IMG_9964_A.jpg",55.9016,-4.2947,"A","https://photos.google.com/photo/AF1QipPjxOgfO51Vzbt2o9L8NqeZC4VUGIb61AACLm6l"
"IMG_9965_A","Rothes Drive","","other","Photos/JPEGs/IMG_9965_A.jpg",55.9017,-4.2952,"A","https://photos.google.com/photo/AF1QipMYjrXNhzGSjInjO_3VotAWeCNR30WCIpFKUTWx"
"IMG_9966_A","Rothes Drive","","other","Photos/JPEGs/IMG_9966_A.jpg",55.9019,-4.2954,"A","https://photos.google.com/photo/AF1QipNeYZuizJDn_bqfq4LZg3rHFzza2hVDftxOCBYK"
"IMG_9967_A","Rothes Drive","","3","Photos/JPEGs/IMG_9967_A.jpg",55.9019,-4.2956,"A","https://photos.google.com/photo/AF1QipMLDMJGR7dSKghJw4cUTNMaBJfjfJJNddjSlJZr"
"IMG_9968_A","Ferndale Drive","","2","Photos/JPEGs/IMG_9968_A.jpg",55.9018,-4.2961,"A","https://photos.google.com/photo/AF1QipORNT522gpsv0BTYFmgUXkFa-FZoar6hZAjp85X"
"IMG_9969_A","Ferndale Drive","GLA 8 PN103 SN8","1","Photos/JPEGs/IMG_9969_A.jpg",55.9016,-4.2964,"A","https://photos.google.com/photo/AF1QipPyoTbNXPCXm-kRszcNJeiSRWJyBrYzscKL9Wg5"
"IMG_9970_A","Ferndale Gardens","","other","Photos/JPEGs/IMG_9970_A.jpg",55.9012,-4.2958,"A","https://photos.google.com/photo/AF1QipPh0TmC0mjyPpp8_yWf0QGDqWQgzj-6Z2Ct7qHX"
"IMG_9971_A","Ferndale Gardens","","3","Photos/JPEGs/IMG_9971_A.jpg",55.9013,-4.295,"A","https://photos.google.com/photo/AF1QipOqR4wwVrPOwZ9urjDXAstSPNUK-3iKtA8sQSGF"
"IMG_9972_A","(path)","","other","Photos/JPEGs/IMG_9972_A.jpg",55.9005,-4.2938,"A","https://photos.google.com/photo/AF1QipMTdDRHPc36a3ZSeL9yrULTfdUrqh9HNv_AUHQz"
"IMG_9973_A","(path)","GLA 8 PN103 SN6","1","Photos/JPEGs/IMG_9973_A.jpg",55.9004,-4.2941,"A","https://photos.google.com/photo/AF1QipP_r2J1qMB4wjJ4DFNammtge8_IPj5Agl_rSIDH"
"IMG_9974_A","Ferndale Drive","","3","Photos/JPEGs/IMG_9974_A.jpg",55.9006,-4.2946,"A","https://photos.google.com/photo/AF1QipPLTNwq2ZFw7HmlVDaEfV7h5-RV1D1Oa_zUDijH"
"IMG_9975_A","Ferndale Drive","GLA 8 PN103 SN9","1","Photos/JPEGs/IMG_9975_A.jpg",55.9008,-4.2966,"A","https://photos.google.com/photo/AF1QipOknz7m6Agp6IcOaiRDsRxHeKqSXu2eUocMB1L_"
"IMG_9976_A","Ferndale Drive","GLA 8 PN103 SN2","1","Photos/JPEGs/IMG_9976_A.jpg",55.9021,-4.2962,"A","https://photos.google.com/photo/AF1QipMruqP-tI0Y0xAwsmt-2AE4v0mOFu1Eyuy1jD7Z"
"IMG_9977_A","Rothes Drive","","2","Photos/JPEGs/IMG_9977_A.jpg",55.902,-4.2963,"A","https://photos.google.com/photo/AF1QipPNp2L-jDA3lda_XODvSqtyHyxk0iNfWXaodquP"
"IMG_9978_A","Craigbo Drive","","other","Photos/JPEGs/IMG_9978_A.jpg",55.9018,-4.2943,"A","https://photos.google.com/photo/AF1QipOQl5AJ4-rfTC3WkGWgl7i8p8E5h3x4gTBEDyiQ"
"IMG_9979_A","Craigbo Drive","","2","Photos/JPEGs/IMG_9979_A.jpg",55.9019,-4.2943,"A","https://photos.google.com/photo/AF1QipNxbYIXlaT_4LucEt9EtSY0Ow4xnMmNJ8-0LaKc"
"IMG_9980_A","Craigbo Drive","","other","Photos/JPEGs/IMG_9980_A.jpg",55.9019,-4.2943,"A","https://photos.google.com/photo/AF1QipNfoqZxZlJSJ8OG0ykgg9-iI4uC0QlRfh8hfFj6"
"IMG_9981_A","Craigbo Road/Craigbo Court","GLA 8 PN103 SN3","1","Photos/JPEGs/IMG_9981_A.jpg",55.9016,-4.2937,"A","https://photos.google.com/photo/AF1QipMILZK-7iioraKM3HDfqRDjyOiTvnw63j0kesb6"
"IMG_9982_A","Craigbo Road/Craigbo Court","D232002","other","Photos/JPEGs/IMG_9982_A.jpg",55.9016,-4.2936,"A","https://photos.google.com/photo/AF1QipPtv-tWWwODv6HYXVGKJxX_XXQusOpK0nQMzkuA"
