"Photo","Location","label_number","box_type","Photo_src","GPSLatitude","GPSLongitude","Survey_run","Google_Photos_Link"
"IMG_0067_D","Whitecraigs Place","","3","Photos/JPEGs/IMG_0067_D.jpg",55.9008,-4.288,"D","https://photos.google.com/photo/AF1QipPZaydNP2c2F4ukLAIOjVexs_IptuV-tRFTfdfb"
"IMG_0068_D","Fairhaven Road","","3","Photos/JPEGs/IMG_0068_D.jpg",55.9014,-4.2881,"D","https://photos.google.com/photo/AF1QipOmbDh87qPjN_yq7hF4g0eLclXzCNy68SsJj6jo"
"IMG_0069_D","Sunningdale Road / Arrochar Street","GLA8 PN103 SN11","1","Photos/JPEGs/IMG_0069_D.jpg",55.8996,-4.2874,"D","https://photos.google.com/photo/AF1QipMjYp1oX_oFk6vS2WlVNFg5576y4pgOPJbL_dbm"
"IMG_0070_D","Arrochar Street","","3","Photos/JPEGs/IMG_0070_D.jpg",55.9008,-4.2866,"D","https://photos.google.com/photo/AF1QipOhiId4LMUV0Yqmpc0xbeGHnf6oq7Wf9A80KjpQ"
"IMG_0071_D","Arrochar Street","GLA8 PN104 SN1","1","Photos/JPEGs/IMG_0071_D.jpg",55.9009,-4.2866,"D","https://photos.google.com/photo/AF1QipMKAPPjUeZtGZDtIkmrlWLXkB5iIvDlyChCGKqM"
"IMG_0072_D","Arrochar Street","36","other","Photos/JPEGs/IMG_0072_D.jpg",55.901,-4.2864,"D","https://photos.google.com/photo/AF1QipOOwGH9U3NLi0lBfRJLBBrQ5YlXWywpvuIe0Bre"
"IMG_0073_D","Arrochar Street","","other","Photos/JPEGs/IMG_0073_D.jpg",55.9009,-4.2864,"D","https://photos.google.com/photo/AF1QipOYixyyrU738jHc11EDyiS-XVzHy4uw938cOJOb"
"IMG_0074_D","Broughton Road","","other","Photos/JPEGs/IMG_0074_D.jpg",55.9007,-4.2859,"D","https://photos.google.com/photo/AF1QipP0FRIwdv__K0Q8AFF68auOAQ1xy2jxRAc_qsH8"
"IMG_0075_D","Brigham Place / Broughton Road","","2","Photos/JPEGs/IMG_0075_D.jpg",55.9008,-4.2857,"D","https://photos.google.com/photo/AF1QipMHNBCq50yVkOx88hU0OfMVmykEOUgFmUiGNLla"
"IMG_0076_D","Broughton Road","GLA8 PN104 SN8","1","Photos/JPEGs/IMG_0076_D.jpg",55.9012,-4.2838,"D","https://photos.google.com/photo/AF1QipMVvZ4jS8zRZndR8mTixWAO4cIp5wTTJZVV8dGL"
"IMG_0077_D","Broughton Road / Broughton Drive","","2","Photos/JPEGs/IMG_0077_D.jpg",55.9018,-4.2838,"D","https://photos.google.com/photo/AF1QipN-eHpiKqNT0FD53DSbGAEqPC3ET5QD7VZ-YH4J"
"IMG_0078_D","Broughton Road","GLA8 PN104 SN9","1","Photos/JPEGs/IMG_0078_D.jpg",55.9028,-4.2837,"D","https://photos.google.com/photo/AF1QipPNHpXulPep5jEDD49q4luxcA-DWO2xke67HvGq"
"IMG_0079_D","Broughton Road / Lynne Drive","","2","Photos/JPEGs/IMG_0079_D.jpg",55.9032,-4.2833,"D","https://photos.google.com/photo/AF1QipO35Viad2YsasNawEQxFWcsU3kjET1vjxzOtbIf"
"IMG_0080_D","Broughton Road","","other","Photos/JPEGs/IMG_0080_D.jpg",55.9033,-4.2834,"D","https://photos.google.com/photo/AF1QipOhi6aludZXExGcsGUdExkSqDrgiw-nqsHaJln0"
"IMG_0081_D","Broughton Road","","other","Photos/JPEGs/IMG_0081_D.jpg",55.9038,-4.283,"D","https://photos.google.com/photo/AF1QipMCqDiZnU247aluw9E6NY61NK4-FqPQa5sVtihK"
"IMG_0082_D","Broughton Road / Dunsyre Place","GLA8 PN104 SN10","1","Photos/JPEGs/IMG_0082_D.jpg",55.904,-4.2828,"D","https://photos.google.com/photo/AF1QipP6fSGlTnbeFo2ZnwD0sz281BHg2yH3BgI-gA-m"
"IMG_0083_D","Broughton Road","","other","Photos/JPEGs/IMG_0083_D.jpg",55.904,-4.2826,"D","https://photos.google.com/photo/AF1QipNGaI8-C_byguWX3ijvHCnTIuCP5IvTE7NbPOM0"
"IMG_0084_D","Broughton Road","","3","Photos/JPEGs/IMG_0084_D.jpg",55.9042,-4.2825,"D","https://photos.google.com/photo/AF1QipO9TD_qLip_Ogo7sg-L_x9dbmSRxG5FAImQ1-MX"
"IMG_0085_D","Newstead Gardens","GLA8 PN107 SN10","1","Photos/JPEGs/IMG_0085_D.jpg",55.9048,-4.2814,"D","https://photos.google.com/photo/AF1QipNjKP7_Xfj8NSIYdpzTsRXzUGIlYuPpO_wWiApV"
"IMG_0086_D","Newstead Gardens","","3","Photos/JPEGs/IMG_0086_D.jpg",55.9049,-4.2811,"D","https://photos.google.com/photo/AF1QipN1hYwDyII8PuqHhsJdSzjSlk73gWB-_JJV6D0M"
"IMG_0087_D","Broughton Gardens","","2","Photos/JPEGs/IMG_0087_D.jpg",55.9053,-4.2814,"D","https://photos.google.com/photo/AF1QipMRHczl-3900HD7rDR6_hddYGg81p3YtFUfzyss"
"IMG_0088_D","Broughton Gardens","","other","Photos/JPEGs/IMG_0088_D.jpg",55.9054,-4.2813,"D","https://photos.google.com/photo/AF1QipPvfd_LOEgUFsk7Db_s2ajjQnjUBMFTfyomUHVX"
"IMG_0089_D","Westerkirk Drive","GLA8 PN107 SN8","1","Photos/JPEGs/IMG_0089_D.jpg",55.9063,-4.2815,"D","https://photos.google.com/photo/AF1QipMTktaJh1zz7ufA1qBwnam8wEl2PEEz1t4ymwKq"
"IMG_0090_D","Westerkirk Drive","","3","Photos/JPEGs/IMG_0090_D.jpg",55.9064,-4.2813,"D","https://photos.google.com/photo/AF1QipMhse4D0-BL8v_8hiyFjfmRaVfxir-2hNbIWqI8"
"IMG_0091_D","Westerkirk Drive","","other","Photos/JPEGs/IMG_0091_D.jpg",55.9063,-4.2807,"D","https://photos.google.com/photo/AF1QipPoS2LRgfPf-PJotxTCu1pHxPyh7Ktm1djVYyy_"
"IMG_0092_D","Hopetoun Place","GLA8 PN107 SN7","1","Photos/JPEGs/IMG_0092_D.jpg",55.9062,-4.2826,"D","https://photos.google.com/photo/AF1QipPwf_inyeA1YFGN2DF2D-sJaBaSVQFeGkC0Cun1"
"IMG_0094_D","Hopetoun Place","","3","Photos/JPEGs/IMG_0094_D.jpg",55.9061,-4.2828,"D","https://photos.google.com/photo/AF1QipPXIK_oMEpLH01p_uaZv5BeN1sCXxAWPWazcSmH"
"IMG_0095_D","Hawthornden Gardens","","3","Photos/JPEGs/IMG_0095_D.jpg",55.9061,-4.2838,"D","https://photos.google.com/photo/AF1QipMjr0zkMN3C6rhCptXpbJCyPTzisYIeLRuIW5Ze"
"IMG_0096_D","Harburn Place","","other","Photos/JPEGs/IMG_0096_D.jpg",55.9059,-4.2846,"D","https://photos.google.com/photo/AF1QipODqIj1R1FQnUFetj8K8fm-Wgbb-4nTknQnakPX"
"IMG_0097_D","Broughton Road / Harburn Place","GLA8 PN107 SN6","1","Photos/JPEGs/IMG_0097_D.jpg",55.906,-4.2844,"D","https://photos.google.com/photo/AF1QipNutMz6x9EHHg0SOGUjOgfNsk2UQfUF54zoiPjB"
"IMG_0098_D","Broughton Road","","2","Photos/JPEGs/IMG_0098_D.jpg",55.9056,-4.2849,"D","https://photos.google.com/photo/AF1QipOXBKy4HKSH41blAR31ogLVuSgxvSR0oeBnlg0c"
"IMG_0099_D","Broughton Road","GLA8 PN107 SN4","1","Photos/JPEGs/IMG_0099_D.jpg",55.9053,-4.2856,"D","https://photos.google.com/photo/AF1QipOBvISO95_NdUcO4zoMF5FBhN-ATYLXSb4Ag9v6"
"IMG_0100_D","Broughton Road","","3","Photos/JPEGs/IMG_0100_D.jpg",55.9053,-4.2857,"D","https://photos.google.com/photo/AF1QipNtThR7Tg7zDnWWEFNUmuMy0wIgaS4YHf2JmV-B"
"IMG_0101_D","Invershield Road","37","2","Photos/JPEGs/IMG_0101_D.jpg",55.9049,-4.287,"D","https://photos.google.com/photo/AF1QipOXFRrpNydE4sJqL-cH9w2GjLAhNuYBe_JoV3gZ"
"IMG_0102_D","Invershield Road","","other","Photos/JPEGs/IMG_0102_D.jpg",55.9049,-4.287,"D","https://photos.google.com/photo/AF1QipMtsN1N2uSt2Y8GZPIblAO5y5WYM89ebyiONN8m"
"IMG_0103_D","Invershield Road","","other","Photos/JPEGs/IMG_0103_D.jpg",55.9049,-4.2871,"D","https://photos.google.com/photo/AF1QipOhbLaP3VErLZjUrRAPJB88YLxSAUVQF0OZfK6S"
"IMG_0104_D","Foxhills Place","","3","Photos/JPEGs/IMG_0104_D.jpg",55.9046,-4.2858,"D","https://photos.google.com/photo/AF1QipOffPVLu1Blj7nAKglNIxHagkvaAfkFV-TSe_13"
"IMG_0105_D","Invershield Road","GLA8 PN105 SN3","1","Photos/JPEGs/IMG_0105_D.jpg",55.9039,-4.2863,"D","https://photos.google.com/photo/AF1QipPFGiYS1UOoXtNZDMdABpmr47Y0AySWqcDrtTLA"
"IMG_0106_D","Invershield Road","","3","Photos/JPEGs/IMG_0106_D.jpg",55.9039,-4.2866,"D","https://photos.google.com/photo/AF1QipPHgW37MXu-zICleD-Hy5ia6nGolKdAcNazPB80"
"IMG_0107_D","Invershield Road","","other","Photos/JPEGs/IMG_0107_D.jpg",55.9036,-4.2859,"D","https://photos.google.com/photo/AF1QipMdsWNaFmEiJdFFLCVy5zPwi7wuYsaEwaNJx_xg"
"IMG_0108_D","Crosspoint Drive","","3","Photos/JPEGs/IMG_0108_D.jpg",55.9033,-4.2851,"D","https://photos.google.com/photo/AF1QipP2_w5lK04Ow-mDXB_rpuZgra1Y_jLvzeVRHMlS"
"IMG_0110_D","Lytham Drive","","3","Photos/JPEGs/IMG_0110_D.jpg",55.9028,-4.2864,"D","https://photos.google.com/photo/AF1QipORwmQac0dLGH9RmcwCjKJRGLlKR21KMzdpJNfA"
"IMG_0111_D","Muirfield Crescent","GLA8 PN105 SN2","1","Photos/JPEGs/IMG_0111_D.jpg",55.9023,-4.2867,"D","https://photos.google.com/photo/AF1QipNQCvplHTVT9wsP-Wis_Yiw_JxEwnJ82E6KGhXG"
"IMG_0112_D","Muirfield Crescent","","3","Photos/JPEGs/IMG_0112_D.jpg",55.9023,-4.2857,"D","https://photos.google.com/photo/AF1QipOox1SoqYLWzcs5iucJJf9t8GXLeUAI5LeXd4S3"
"IMG_0113_D","Dougalston Road","","2","Photos/JPEGs/IMG_0113_D.jpg",55.9022,-4.2867,"D","https://photos.google.com/photo/AF1QipMQkN9hznswv5WH7l42o9RblHZT_wnoIOex7W9E"
"IMG_0114_D","Arrochar Street","","2","Photos/JPEGs/IMG_0114_D.jpg",55.901,-4.2868,"D","https://photos.google.com/photo/AF1QipPgL4YS7cqKtixv0UeOHoHVDeb8JIj3Ob8e9MUh"
"IMG_0115_D","Arrochar Street","","other","Photos/JPEGs/IMG_0115_D.jpg",55.9014,-4.2867,"D","https://photos.google.com/photo/AF1QipNqclyCFldg57zzBlQhJGld9pKYvTP1yw69pquo"
"IMG_0116_D","Lindrick Drive","","2","Photos/JPEGs/IMG_0116_D.jpg",55.9022,-4.2886,"D","https://photos.google.com/photo/AF1QipNOyw2OfXbj5zAYClHokoWMrgeNzh0pteaXRK4B"
"IMG_0117_D","Hollinwell Road","","other","Photos/JPEGs/IMG_0117_D.jpg",55.9023,-4.2887,"D","https://photos.google.com/photo/AF1QipNmESR0j360h8ljbptnqh8YlVhKyyiVXSCdb9ES"
"IMG_0118_D","Glenbervie Place","GLA8 PN104 SN2","1","Photos/JPEGs/IMG_0118_D.jpg",55.9026,-4.2889,"D","https://photos.google.com/photo/AF1QipNRhFu9MNULElKpsIfVSsUm8lKR08wflfB0MoAR"
"IMG_0119_D","Arrochar Street","","2","Photos/JPEGs/IMG_0119_D.jpg",55.9031,-4.2886,"D","https://photos.google.com/photo/AF1QipMYINfiXX0N6EGjA9EjtfTJzVAbnR_eMPU0oWXw"
"IMG_0120_D","Hollinwell Road","","3","Photos/JPEGs/IMG_0120_D.jpg",55.9019,-4.2894,"D","https://photos.google.com/photo/AF1QipM9H5jOxAWpWxAwigk9XTkilsxbaLn0ztyZueJ0"
"IMG_0121_B","Craigbo Road/Craigbo Place","D2200","other","Photos/JPEGs/IMG_0121_B.jpg",55.9021,-4.293,"B","https://photos.google.com/photo/AF1QipOMU6ETU0opoyANNRjfYeXrWt_1Sh_f3CIaSeXV"
"IMG_0121_D","Hollinwell Road","","other","Photos/JPEGs/IMG_0121_D.jpg",55.9014,-4.2896,"D","https://photos.google.com/photo/AF1QipMs6i0epVXVhJ3s7RH2TtDsMa1RZ9GXpArIYNEY"
"IMG_0122_D","Hollinwell Road","","3","Photos/JPEGs/IMG_0122_D.jpg",55.9012,-4.2894,"D","https://photos.google.com/photo/AF1QipMiAgy9DeruxDuUMSPyfz1Rv41-DMSgm63wZwL-"
"IMG_0122_B","Craigbo Road/Craigbo Place","","2","Photos/JPEGs/IMG_0122_B.jpg",55.9019,-4.2931,"B","https://photos.google.com/photo/AF1QipO5qwGp0qKTids9JsVrn6IrxtDSVOKLzbXmCW54"
"IMG_0123_D","Hollinwell Road","GLA8 PN104 SN4","1","Photos/JPEGs/IMG_0123_D.jpg",55.9013,-4.289,"D","https://photos.google.com/photo/AF1QipNaGmQ1dRQRvGVkDi97vnEIvugTTjTYEt2Rwwuw"
"IMG_0123_B","Craigbo Road/Craigbo Ave","GLA 8 PN103 SN4","1","Photos/JPEGs/IMG_0123_B.jpg",55.9021,-4.2929,"B","https://photos.google.com/photo/AF1QipN_SGBbD0Cld25gDuUcJ8-gYrh3_Z8n9Hc0ytye"
"IMG_0124_B","Craigbo Road/Craigbo Ave","GLA 8 PN103 SN5","1","Photos/JPEGs/IMG_0124_B.jpg",55.9021,-4.2927,"B","https://photos.google.com/photo/AF1QipM0ZOHTiA09HTPs54CGlHWY9DRmXVnWcbypHT5L"
