"Filename","Google_Photos_Link","GPSLatitude","GPSLongitude","Survey_run"
"IMG_0139_B","https://photos.google.com/photo/AF1QipNtclMmuhLJSmMI-6AQ2GqDwQH4G-aTi93ciq6y",55.9027,-4.2978,"B"
"IMG_0140_B","https://photos.google.com/photo/AF1QipNzITzBvS7rGQNuepoNNAKDZhgK2uXb4wZ9V61U",55.9031,-4.2972,"B"
"IMG_0141_B","https://photos.google.com/photo/AF1QipNk1nPMd4PPV2FyUq0XGx1TP7ab-y46pUGPcRDl",55.9034,-4.2968,"B"
"IMG_0142_B","https://photos.google.com/photo/AF1QipPoh_Itj5-vjOVRTBDkt290YankCZb4putcmtkO",55.903,-4.2977,"B"
"IMG_0143_B","https://photos.google.com/photo/AF1QipOVqKVzlarsoFZlzC6bbUghT9XJCtU_U7JRrcoH",55.9035,-4.2968,"B"
"IMG_0144_B","https://photos.google.com/photo/AF1QipMzPpElmO2DUnIRpr1oNP3h8f-XfNTJbO_8T_Ke",55.9035,-4.2965,"B"
"IMG_0145_B","https://photos.google.com/photo/AF1QipPNQ_RsEaWKlniKWF_r_l5pwGH5X7giT4OsYA-7",55.9033,-4.2959,"B"
"IMG_0146_B","https://photos.google.com/photo/AF1QipNM5bw6B79nxfpX-nbhsn3frAmuQGXwpgJJyLAa",55.9033,-4.2955,"B"
"IMG_0147_B","https://photos.google.com/photo/AF1QipM5yVmmJlYfHeIFDDKopNwfes2l3YTKlkNC5ErU",55.9032,-4.296,"B"
"IMG_0148_B","https://photos.google.com/photo/AF1QipOvkJXzmMXZt3INKffYbTiw_Z77W-2MrVAcnqyB",55.9032,-4.2959,"B"
"IMG_0149_B","https://photos.google.com/photo/AF1QipPWC0X_yDedhxljy22y2mlApLGWx54zG4TeMlZj",55.9031,-4.2959,"B"
"IMG_0150_B","https://photos.google.com/photo/AF1QipNNes7BqO-m7GQ4ACvhu0yoBSzhoAygb12xYmuF",55.9031,-4.2959,"B"
"IMG_0323_C","https://photos.google.com/photo/AF1QipOjBvYqcloQxz9kWicmWQcUMS1wBEAnC21-jXBd",55.9035,-4.2951,"C"
"IMG_0324_C","https://photos.google.com/photo/AF1QipNCwG0OWVZIlT8dgQMjWfCVSFiI4LFI3dni9vJO",55.9037,-4.2946,"C"
"IMG_0325_C","https://photos.google.com/photo/AF1QipNcaMAh5xhduE7F9s12tsarFB8ksb8jOLqQH9Db",55.9037,-4.2946,"C"
"IMG_0326_C","https://photos.google.com/photo/AF1QipPCrt8DHUVhOVLUDCyWzmKMUyxsGY2gcF--Hi5j",55.9044,-4.2942,"C"
"IMG_0327_C","https://photos.google.com/photo/AF1QipPWoWnfHqignAB6-sE-5veA_D2eP0-EhHWFLqC6",55.9044,-4.294,"C"
"IMG_0328_C","https://photos.google.com/photo/AF1QipMHrWZigpMEAX4SGodiJ9nXLUQ7kYo6i_CIWzIu",55.9049,-4.2938,"C"
"IMG_0329_C","https://photos.google.com/photo/AF1QipPXcWUT3CVoGviVRuWiKHvwzS-IszsXYCEKneS8",55.9051,-4.2938,"C"
"IMG_0330_C","https://photos.google.com/photo/AF1QipOfUhqggasZJTc_8Nr_1J_94CP6b9mTDBLa61cU",55.9053,-4.2937,"C"
"IMG_0331_C","https://photos.google.com/photo/AF1QipMCOY69xEZEJee738SyKamev_uMVlEVWNzvPCwD",55.9053,-4.2933,"C"
"IMG_0332_C","https://photos.google.com/photo/AF1QipN8rUpK7WNqeA1syIbAGuluhErUbFZswBBdK7vl",55.9052,-4.2929,"C"
"IMG_0333_C","https://photos.google.com/photo/AF1QipOCOvYsozg-Gt-d8QSFz7rk033NQNR6GSJg0pGi",55.9053,-4.2915,"C"
"IMG_0334_C","https://photos.google.com/photo/AF1QipORGdRtRxPWN_8BS9g0u_uMKipY5pl-AfkFbkNn",55.9055,-4.2915,"C"
"IMG_0335_C","https://photos.google.com/photo/AF1QipPnj-tltrwtEulPeJjx4viLmZP5qj6Z_IVoeu8y",55.9054,-4.2911,"C"
"IMG_0336_C","https://photos.google.com/photo/AF1QipOIaL-3KdKSYTI4xG2QBSXz00zOP7U6fhmUGv08",55.9055,-4.2909,"C"
"IMG_0337_C","https://photos.google.com/photo/AF1QipNDrGF6HVSkfwW6rQAOezOYcu__o6Rc1k9U4UA_",55.9053,-4.2897,"C"
"IMG_0338_C","https://photos.google.com/photo/AF1QipMqdiiv-hmHkcQxO1rtVg7aDMrYRBh1X758Mtmq",55.9053,-4.2899,"C"
"IMG_0339_C","https://photos.google.com/photo/AF1QipPl0BEsWOeX9v5l1Tp3bUN34htUhBgkvzyEy-_K",55.9047,-4.2902,"C"
"IMG_0340_C","https://photos.google.com/photo/AF1QipMWZoZMGC2USJrAWYwAGp1ixQVKuY0xEWrlSp9O",55.9045,-4.2895,"C"
"IMG_0341_C","https://photos.google.com/photo/AF1QipO3_u1uw01w-5VwbrpVeDc58A7oidhQaPzVVEd3",55.904,-4.2894,"C"
"IMG_0342_C","https://photos.google.com/photo/AF1QipPlT_hjoxFP3qY_a5ZEZVcqh4bhEt15SPd7nUcV",55.9041,-4.2906,"C"
"IMG_0343_C","https://photos.google.com/photo/AF1QipOz5uNAJR_ltNZ1CwYAgC0JQYh8Jxzk4xiGdni0",55.9041,-4.2906,"C"
"IMG_0344_C","https://photos.google.com/photo/AF1QipPO3F_5P6C2o-bNODn87uGCOU4edboQUpbKYe8T",55.9048,-4.291,"C"
"IMG_0345_C","https://photos.google.com/photo/AF1QipPOmEPomkyvIYbEkBSPymSFoghMyN3AT-5hEKdz",55.9048,-4.2922,"C"
"IMG_0346_C","https://photos.google.com/photo/AF1QipOihEIj0MF7rVh9VhEE-MLla-Xo6I1_AYTP6hpz",55.9047,-4.2931,"C"
"IMG_0347_C","https://photos.google.com/photo/AF1QipO5jtH1O0ERqPCS7on2e3At7OUQymSzTvDXsFtt",55.904,-4.2934,"C"
"IMG_0348_C","https://photos.google.com/photo/AF1QipMdZ2EjTj32OzYswts7NkgFJarbYXVmk4GJCVYZ",55.9042,-4.2923,"C"
"IMG_0349_C","https://photos.google.com/photo/AF1QipNehuxGoiRX4gOX0ODTZ3FH8KAEOPGVvDo-FBRJ",55.9041,-4.2921,"C"
"IMG_0350_C","https://photos.google.com/photo/AF1QipPcQQVbSSZ3pl10TAa_7gFXa85M4OZ6k48_VtXO",55.9041,-4.2921,"C"
"IMG_0351_C","https://photos.google.com/photo/AF1QipM1WbzEAkvoXdGB9KiM08QdzwpKJ46VC9nN6ktt",55.9039,-4.2921,"C"
"IMG_0352_C","https://photos.google.com/photo/AF1QipNjNxp8BcYDuIQbCghxtUEOUkQL3AcGkyr83VqG",55.9038,-4.2921,"C"
"IMG_0353_C","https://photos.google.com/photo/AF1QipNrGC5M4JSrl5YYIMdztCzn7sonEqI8xLgz_zui",55.9041,-4.2914,"C"
