photo_filename,Location,label_number,box_type,Photo_src
IMG_0112,Muirfield Crescent,,3,Photos/JPEGs/IMG_0112_D.jpg
IMG_0113,Dougalston Road,,2,Photos/JPEGs/IMG_0113_D.jpg
IMG_0114,Arrochar Street,,2,Photos/JPEGs/IMG_0114_D.jpg
IMG_0115,Arrochar Street,,other,Photos/JPEGs/IMG_0115_D.jpg
IMG_0116,Lindrick Drive,,2,Photos/JPEGs/IMG_0116_D.jpg
IMG_0117,Hollinwell Road,,other,Photos/JPEGs/IMG_0117_D.jpg
IMG_0118,Glenbervie Place,GLA8 PN104 SN2,1,Photos/JPEGs/IMG_0118_D.jpg
IMG_0119,Arrochar Street,,2,Photos/JPEGs/IMG_0119_D.jpg
IMG_0120,Hollinwell Road,,3,Photos/JPEGs/IMG_0120_D.jpg
IMG_0121,Craigbo Road/Craigbo Place,D2200,other,Photos/JPEGs/IMG_0121_B.jpg
IMG_0121,Hollinwell Road,,other,Photos/JPEGs/IMG_0121_D.jpg
IMG_0122,Hollinwell Road,,3,Photos/JPEGs/IMG_0122_D.jpg
IMG_0122,Craigbo Road/Craigbo Place,,2,Photos/JPEGs/IMG_0122_B.jpg
IMG_0123,Hollinwell Road,GLA8 PN104 SN4,1,Photos/JPEGs/IMG_0123_D.jpg
IMG_0123,Craigbo Road/Craigbo Ave,GLA 8 PN103 SN4,1,Photos/JPEGs/IMG_0123_B.jpg
IMG_0124,Craigbo Road/Craigbo Ave,GLA 8 PN103 SN5,1,Photos/JPEGs/IMG_0124_B.jpg
IMG_0125,Craigbo Road (bottom),,other,Photos/JPEGs/IMG_0125_B.jpg
IMG_0126,Craigbo Road (bottom),,2,Photos/JPEGs/IMG_0126_B.jpg
IMG_0127,Chatton Street,,2,Photos/JPEGs/IMG_0127_B.jpg
IMG_0128,Chatton Street,,other,Photos/JPEGs/IMG_0128_B.jpg
IMG_0129,Littleton Street,,3,Photos/JPEGs/IMG_0129_B.jpg
IMG_0129,Arrochar Street,,other,Photos/JPEGs/IMG_0129_E.jpg
IMG_0130,Littleton Street,GLA 8 PN102 SN3,1,Photos/JPEGs/IMG_0130_E.jpg
IMG_0131,Forres Street,,other,Photos/JPEGs/IMG_0131_E.jpg
IMG_0131,Littleton Drive (behind shop),,2,Photos/JPEGs/IMG_0131_B.jpg
IMG_0132,Sconser Street,,2,Photos/JPEGs/IMG_0132_E.jpg
IMG_0132,Rothes Drive,GLA 8 PN102 SN1,1,Photos/JPEGs/IMG_0132_B.jpg
IMG_0133,Invershield Road,GLA8 PN107 SN3,1,Photos/JPEGs/IMG_0133_E.jpg
IMG_0133,Rothes Drive,,2,Photos/JPEGs/IMG_0133_B.jpg
IMG_0134,Letterfearn Drive,,other,Photos/JPEGs/IMG_0134_E.jpg
IMG_0134,Rothes Drive,,other,Photos/JPEGs/IMG_0134_B.jpg
